tid,retweet_tid,screen_name_from,screen_name_to,postedtime,tweet_text,retweet_text
1335292507979124739,1335288955445669890,HLAurora63,V_actually,Sat Dec 05 18:38:37 +0000 2020,,"Vaccine Tracking is Now Here

You don't need documentation to enter the USA or a voting booth.. but you'll need it to enter a school, grocery store, bank, restaurant, pharmacy, office building, etc.

Now we are all Cattle.

1776 is upon us. 
 https://t.co/vUEMSyItMF"
1338913828399181826,1338902508652130305,HLAurora63,TribulationThe,Tue Dec 15 18:28:27 +0000 2020,,"Biden/Harris America....

LGBT Activist Calls For ALL Children to Be Put on Puberty Blockers!

https://t.co/uyYp9KWdA5

#MAGA #Trump #TWGRP #TheMighty200"
1340711245905874944,1340709697477873664,HLAurora63,RedDragonFly19,Sun Dec 20 17:30:44 +0000 2020,,"CDC Issues New Guidelines, Launches Probe After 1000s Negatively-Affected Following COVID-19 Vaccination | ZeroHedge https://t.co/mDgoB43fdk"
1335315193774157827,1335216517244362754,HLAurora63,BentHills,Sat Dec 05 20:08:45 +0000 2020,,"🚨👀👀🚨

Chief Medical Officer Says Canadians Who Refuse Vaccine Won't Have ""Freedom To Move Around"" https://t.co/t96uY03C8X https://t.co/tpm1pmYcss"
1335336348618780678,1335335532147191808,HLAurora63,RedDragonFly19,Sat Dec 05 21:32:49 +0000 2020,,"5 Ways Americans Could Be ""Encouraged"" To Get A COVID Vaccine | Zero Hedge https://t.co/fyjCJbVlsb"
1335633376871591939,1335616105021313025,HLAurora63,BillH1059,Sun Dec 06 17:13:06 +0000 2020,,"RT 🚨 

Beyond a certain level the load is insufficient to either infect someone else or be of any clinical or epidemiological relevance whatsoever. CT over 35 is non-infectious

Tested 'Positive' For COVID-19? Be Sure To Ask This Question | Zero Hedge https://t.co/FkTksME2pJ"
1335652964472590338,1335652671576018953,HLAurora63,tom_trotts,Sun Dec 06 18:30:56 +0000 2020,,"Supreme Court Justice Alito Moves Up Deadline For Supreme Court Briefing In Pennsylvania Case, Bringing Within 'Safe Harbor' Window To Intervene

https://t.co/OIhZaNQOaa"
1335693762421526528,1335686382778523648,HLAurora63,readyletsgo27,Sun Dec 06 21:13:03 +0000 2020,,"""Big Win For Honest Elections"" - Judge Allows Forensic Audit Of Dominion Voting Machines In Michigan. Let’s hope these machines haven’t been wiped already. https://t.co/9rANcCv688"
1335717773452996614,1335708848997298177,HLAurora63,DEPLORABLEREEG1,Sun Dec 06 22:48:28 +0000 2020,,"My County of Riverside, CA Sheriff needs to be named...

“MAN OF THE YEAR”!!! 

He’s my HERO!! 🇺🇸💖

@realDonaldTrump 
@RudyGiuliani 
@DineshDSouza 
@EricTrump 
@DonaldJTrumpJr 

https://t.co/9pQcz6PHlk"
1335743350079705090,1335742671802015753,HLAurora63,superyayadize,Mon Dec 07 00:30:06 +0000 2020,,"Second Major California Sheriff Openly Rebels Against Newsom Lockdown

Orange County Sheriff Don Barnes announced that deputies would not enforce the regional stay-at-home order that was scheduled to go into effect Dec. 6 throughout Southern California. https://t.co/jPSJo70NOI"
1341426025520132101,1341413252383862784,HLAurora63,TribulationThe,Tue Dec 22 16:51:01 +0000 2020,,"Patriot Ron Paul SLAMS RHINOS!

Paul Slams Republicans Voting For COVID Bill: ‘You Are No Better Than Socialist Dems’!

https://t.co/YLARamzlBL

#MAGA #Trump #TWGRP #TheMighty200"
1341428801989959681,1341378547336802305,HLAurora63,zeusFanHouse,Tue Dec 22 17:02:03 +0000 2020,,"#Trump Confirms He Spoke With ‘Great Gentleman’ #TommyTuberville, Projects Optimism About January 6 Challenge

“We’re going to get that all corrected,” #Tuberville promised

“Don’t give up on [Trump]”

https://t.co/qAXSlz66xP

#QAnon2018 #QAnon2020
#StopTheSteal
#FightForTrump https://t.co/DvG0Isor87"
1336002044130455554,1335952108630249473,HLAurora63,zeusFanHouse,Mon Dec 07 17:38:03 +0000 2020,,"#Trump Reportedly Mulling Skipping Biden Inauguration 2 Stage‘Grand Finale Exit’Opposition Rally...

Dr Steve #Pieczenik gives him insider info reg #Biden’s Deal w Trump regarding pedophile&amp; #deepstate roundups coming in the future

https://t.co/xXKkBlsGnc

#QAnon2018 #QAnon2020 https://t.co/BqEDK5RPIv"
1336002626119475200,1335997526411980807,HLAurora63,tom_trotts,Mon Dec 07 17:40:22 +0000 2020,,"The @FDRLST's @MZHemingway Destroys FakeNews Narrative ""Debunking"" Of Late-Night Ballot Malarkey In Georgia

@ABC @CBSNews @NBCNews @CNN @FoxNews @MSNBC @NPR @democracynow @CBS_Herridge 
https://t.co/9OuCuVko5g"
1336076255876231169,1336068981703270403,HLAurora63,TribulationThe,Mon Dec 07 22:32:57 +0000 2020,,"It's a Liberal White Christmas!

Shock Video: Young Boy Sobs After Liberal Santa Refuses to Gift Him Nerf Gun for Christmas!

https://t.co/I3UjCyKgNt

#MAGA #Trump #TheMighty200 #TWGRP"
1336148768916463618,1336147825445523458,HLAurora63,tom_trotts,Tue Dec 08 03:21:05 +0000 2020,,"Unsubscribe.

Another Airline Announces 'COVID Passports' Will Be ""Essential"" For Travel

https://t.co/Wf5xhGP982"
1336149479142125574,1336120062919520259,HLAurora63,zeusFanHouse,Tue Dec 08 03:23:54 +0000 2020,,".#TRUMP: ‘The Case Has Already Been Made’, And There Are ‘Big Things Happening In The Next Couple Days’

https://t.co/CieX2NcPKy

#QAnon2018 #QAnon2020
#FightBack
#StopTheSteaI https://t.co/MXXPGmA0T9"
1341525415266029569,1341524113807069184,HLAurora63,tom_trotts,Tue Dec 22 23:25:57 +0000 2020,,"Time for Bill Gates and Saint Fauci to mandate!

Hospital Workers Turn Down COVID Vaccine: ""There's Too Much Mistrust""

""There is a high level of mistrust and I get it.""

""People are genuinely afraid of the vaccine.""

 Nobody wants to be a guinea pig.

https://t.co/AVTHZAF2ZZ"
1336445130547601410,1336422179836211200,HLAurora63,zeusFanHouse,Tue Dec 08 22:58:43 +0000 2020,,"#Breaking: Committee Resolution Naming Joe #Biden as President-Elect FAILS

In humiliating setback for #Democrats, #Republicans on Inaugural Committee refuse to legitimize rigged #election results

https://t.co/xsEhdHnDuq

#QAnon2018 #QAnon2020
#StopTheSteaI 
#Trump https://t.co/D72ueKPAzg"
1336662064732008448,1336653922879107078,HLAurora63,TribulationThe,Wed Dec 09 13:20:44 +0000 2020,,"Don't Mess with Texas!!!

The Texas Lawsuit Is On The Docket – The Supreme Court Will Determine The Fate Of The 2020 Election!

https://t.co/jQu4NIpPXz

#MAGA #Trump #TWGRP #TheMighty200"
1336711290027352064,1336702210076528640,HLAurora63,tom_trotts,Wed Dec 09 16:36:21 +0000 2020,,"Please continue to tune out of @FoxNews and tune in to @newsmax, @OANN, @AmericasVoice and @RSBNetwork.
 
They are not on our side.

Newsmax Ratings Surge, Surpass Fox For First Time

https://t.co/uhi4fngawD"
1344697491585904642,1344659035828740103,HLAurora63,zeusFanHouse,Thu Dec 31 17:30:39 +0000 2020,,"Report: #Trump To DeClassify Intel Claiming #China Funded #Attacks On US Troops

https://t.co/LAJkGG4Y5W

#QAnon2018 #QAnon2020 https://t.co/cdpKIIeob5"
1336771377488138242,1336770877023776769,HLAurora63,TribulationThe,Wed Dec 09 20:35:07 +0000 2020,,"BIG PICTURE, folks!!!!!!

Vatican Enters “Global Alliance” with Rothschilds, Rockefeller Foundation &amp; Big Banks To Create Great Reset!

https://t.co/iDwHorzNK8

#MAGA #Trump #TWGRP #TheMighty200"
1336791971390763008,1336786774874615817,HLAurora63,readyletsgo27,Wed Dec 09 21:56:57 +0000 2020,,One Third Of US States Have Now Joined Texas SCOTUS Bid To Overturn Election. This snowballed fast! We are watching history in the making.https://t.co/BHZpZJK7dT
1336824017605578754,1336819558401925121,HLAurora63,TribulationThe,Thu Dec 10 00:04:17 +0000 2020,,"What the....Dave Hodges of the Common Sense Show was RIGHT!

Explosive Documents! Canadian Prime Minister Requested Chinese Troops Be Stationed In Canada!

#MAGA #Trump #TWGRP #TheMighty200 https://t.co/m6vfyLvegY"
