tid,retweet_tid,screen_name_from,screen_name_to,postedtime,tweet_text,retweet_text
1338666126616702977,1338586614080172032,DjangoUnfeigned,zeusFanHouse,Tue Dec 15 02:04:10 +0000 2020,,"Disqualify Criminal #Biden Before 2 Late

Time running out4 America 2b saved from total #Chicom takeover

Will this b looked upon when arrests should have been made across board before network of #Chinese traitors destroyed America?

https://t.co/MUEReKuGjY

#QAnon2018 #QAnon2020 https://t.co/j8WOCq2knm"
1336778361230725125,1336522211197382657,DjangoUnfeigned,zerohedge,Wed Dec 09 21:02:52 +0000 2020,,"Tenants, Landlords Face Imminent Crisis As Pandemic Lifelines Expire  https://t.co/gV19fFSEYm"
1336886370250485761,1335211187433218048,DjangoUnfeigned,o_rips,Thu Dec 10 04:12:03 +0000 2020,,"Chief Medical Officer Says Canadians Who Refuse Vaccine Won't Have ""Freedom To Move Around"" https://t.co/snw5m2Q9Bt https://t.co/VNZ9NwO4Uu"
1336890355808161792,1336887284281430016,DjangoUnfeigned,AnonsSynonymous,Thu Dec 10 04:27:53 +0000 2020,,"Canadian Health Ministry Exploring ""Immunity Passports"", Vaccine ""Tracking And Surveillance"" | Zero Hedge 

This was planned for...actually. All of it. 
https://t.co/UyVpHYvMU2"
1335290462899462144,1335007268774010882,Jacquel05346769,zeusFanHouse,Sat Dec 05 18:30:29 +0000 2020,"CAN YOU SEE IT NOW?
WHY DO YOU LET THEM DO THIS TO YOUR SMALL BUSINESSES?
WHY DON'T YOU OPEN UP AND FIGHT BACK?
WHY… https://t.co/IBW3mGn3V8","1 of 2

The Plot Against Small Businesses

How #pandemic policy has benefited the corporate elite...

America’s #smallbusinesses currently face an #attack on all fronts...

https://t.co/PvCEqQPwjN

#QAnon2018 #QAnon2020 
#ChineseCoronaVirus
#DemocratsHateAmerica 
#COVID #WHO #CDC https://t.co/YtDsZIye08"
1340375892326031361,1340070206991982594,jillibeenz1,zeusFanHouse,Sat Dec 19 19:18:10 +0000 2020,,"A #Storm Is Coming:#Trump Considers Direct Action Against Foreign Interference in #Election

If #Pentagon considers #Biden 2b compromised–&amp; election fraudulently influenced by foreign actors–moves by military intelligence make sense

https://t.co/a9iU6pbCx9

#QAnon2018 #QAnon2020 https://t.co/MCo876aQLJ"
1340383059863105540,1339999066118377472,MissAustin15,zeusFanHouse,Sat Dec 19 19:46:39 +0000 2020,,"Gen. #Flynn Says Trump Could Use #MartialLaw to Force Election Redos in Swing States

https://t.co/t26zLTUUzO

#QAnon2018 #QAnon2020
#StopTheSteal
#FightForTrump
@GenFlynn https://t.co/9ENclc7ZGo"
1335298178699157505,1335266531953938434,MissAustin15,JoeFreedomLove,Sat Dec 05 19:01:09 +0000 2020,,"California Sheriff Slams Gov. Newsom's 'Dictatorial' Lockdowns, Won't Be 'Blackmailed, Bullied Or Used As Muscle' To Enforce | Zero Hedge https://t.co/MQNOPaWxDU"
1335667676593745922,1335648956597084167,MissAustin15,zerohedge,Sun Dec 06 19:29:24 +0000 2020,,Lin Wood Plans SCOTUS Petition After Court Rejects Georgia Appeal https://t.co/jEjGeSxI8k
1337487837067964427,1337468267510763521,MissAustin15,123RHGreen,Fri Dec 11 20:02:04 +0000 2020,,"The DNC is ready to kick Biden to the curb.

https://t.co/hLoSeM3B1n"
1338824807232704513,1337197934992117760,awakenfinland,zeusFanHouse,Tue Dec 15 12:34:42 +0000 2020,,"‘Unprecedented’:#Pentagon Cuts Support to #CIA Counterterrorism Ops

The Pentagon announced Thur it would cut support to most CIA counterterrorism operations throughout the globe,in an action described by #MSM as a “surprising move”

https://t.co/mM0X7FQtAe

#QAnon2018 #QAnon2020 https://t.co/8hS1CIJ556"
1335650160832081921,1335649652453105664,awakenfinland,Forecast432hz,Sun Dec 06 18:19:48 +0000 2020,,Sauce https://t.co/XQIdYuV7qN
1335725277259964418,1328537966176821248,awakenfinland,zeusFanHouse,Sun Dec 06 23:18:17 +0000 2020,,"Analyst:Why #Trump Will Likely Win Second Term

The #media is quickly trying 2 claim that Joe #Biden is the next president because Pres Trump has the law – the courts – on his side,according to an analyst

https://t.co/tE8ngf37ML

#QAnon2018 #QAnon2020
#StopTheSteal
#Election2020 https://t.co/AjeczUWsE4"
1335725309640011778,1328491921107546112,awakenfinland,zeusFanHouse,Sun Dec 06 23:18:25 +0000 2020,,"Sidney #Powell: Impeach Chief Justice #Roberts If He Doesn’t Take Up Massive #Election Fraud Case

https://t.co/GzO3GhDO5s

#QAnon2018 #QAnon2020
#StopTheSteal
#Election2020 
@SidneyPowell1 
#Rush #Limbaugh Show https://t.co/395bgmEar5"
1335725370125979650,1328432710046531584,awakenfinland,zeusFanHouse,Sun Dec 06 23:18:39 +0000 2020,,"Left will eat itself due to its own self-destructive nature

#Biden will now face their wrath

Stage set for mockingbird #media to create #Trumpesque boogeymen as scapegoats of disinformation,but even that won’t save..

https://t.co/CybMQUMzbz

#QAnon2018 #QAnon2020
#StopTheSteal https://t.co/iixcdzEP70"
