screen_name_from,score
IsThisAB0t,3.3
EUVoteLeave23rd,2.1
grancake,1.4
andymoz78,1.2
donifordace,1.4
ThorpeLynden,1.2
WilkinsDavi,1.2
NotThatDave1,0.8
ChrisBaxi,0.8
AndiNeglia,4.0
MarkJMatthews21,0.0
JaneKatz27,1.3
The_UK_NeedsYou,0.8
DaveWig52,3.2
SuperbikeAl,4.1
DamainWard,3.5
NickStevenson63,4.5
Woking_IN,3.8
RoscoeIbebell,1.8
MountneyClive,0.8
BeamaBeorg,4.8
birdonthewire3,4.6
scotlandbest,4.0
HARRYCHUNKK,0.6
NONONOEU,3.4
harding_keith,4.1
terencehooson,4.2
PrincessofWails,4.4
HorshamGardener,4.8
cjfaraway,0.2
Mark887309061,1.8
Iceman_cometh1,4.6
Welshdellboy,4.0
munro11munro,2.2
tina_tinalondon,4.1
kkhanskk,1.3
daniel67333813,4.2
mark_allatt,1.4
Grado779,0.7
iharding51,4.1
LboroNO2EU,1.4
CymroAlba,3.6
owltan74,1.6
fatfei_,0.6
jivinmalc,1.8
Ashintully1745,1.1
lsrlinda,3.6
minxymartin,4.1
sound_of_sirens,1.6
subtel1,4.8
Philsnr,4.0
RTaylor_LibDem,1.0
PennyTindall,1.7
PhilMorandi,3.0
marionpfallon,0.6
havantacluOTMP,0.8
deejayhome,0.4
chesterwriter,0.6
mckinlay_liz,4.3
ragtag50,1.7
Damage_13,0.1
trevorw1953,2.9
GraceGrace90,3.7
xargle,3.2
MercianSaxon,1.5
Avalon262,4.7
3BlockM,0.9
HerbieHarrow,0.9
Teenie6619Tina,1.0
gmgd1971,3.0
birdbrook,3.0
sizjam68,0.8
Tsunami65,4.1
4bassman2,1.3
Cat_Callisto,4.0
andwarn,0.2
HarridgePike,4.3
lopcute,1.1
S100AKS,1.8
petermccue1,2.7
ReddBazaar,3.6
kingston_v,2.0
laurapoulter,3.0
g_m_hodgson,4.4
keithsharpe7,3.4
joneyi1,3.8
thecentreline86,0.4
sheralynlouise,0.0
ianpatterson99,0.4
Sue36650435,4.4
freedomlynn123,0.5
Brexit4us,0.1
DDawn0,4.4
KoolarSmith,0.8
1012Fairydust,0.4
PaulSandars,3.5
debbiesturgis1,0.7
Brexit_News,3.6
M_C_Evans,1.4
john_jb6368093,4.5
valthirteen,0.2
sufiboy,0.8
ElContador2000,4.2
RejoinTheWorld,3.4
unojen_wood,4.1
NancyChalk,1.0
WendyNowak,4.8
uncleprober,0.8
Nissemus,1.0
SueWhitaker11,1.5
HusseniHussein,3.2
SianJasper,0.2
tonypickett,4.1
philiprichards5,4.3
mconway70,4.2
GreenBanana4,3.6
linannlum,1.0
julia_reid,0.8
Flomoll,1.2
amjsutherland,4.1
OMavis67,3.6
graham51518,1.2
brookebay21,5.0
jlj060453,0.8
DanKaszeta,0.3
shirleyyoung2,1.0
GraceBrodie,3.4
suemcdonald342,0.6
wulba,1.7
philmeinn,4.4
SNP_tweets,3.7
SParkerGGG,0.5
KevinAtp,1.6
StephenCox65,1.2
janicemorphet,0.6
MIkef45,0.7
Loreign83,4.4
CrustyDinosaur,4.6
rossthomson26,4.3
jamesmfahy,0.1
NaomiLWood,0.6
henry0410,3.6
BernardMcEldown,0.4
ChubbyCliff,0.2
JoeMoranUOL,3.8
PatrickAndrews,0.3
Ant1988,1.4
gap1967,3.8
markrowantree,4.3
sa_cullen,1.4
cobaltmale,3.0
ronnieb06227051,0.5
OldGitPhil,0.8
Markwr88,3.6
DavidCoburnUKip,3.8
Shazza1uk,4.8
cawsandfleur,4.1
dan_sadie,0.7
maxelltrotter,1.0
jacqui703,4.9
jeromethegnome,4.5
huckle_paul,0.4
mag55rbt,3.0
ParkinsonsImpro,4.6
LusbyNigel,0.8
lewiscoughlan,4.0
swinny198,3.8
drmatthewhardy,0.6
LivingInHopeUK,2.2
cafe_mic,3.4
rolfesm,1.2
martinpalmer351,1.2
grumpysteve47,0.0
nickreeves9876,3.4
simon_lindsell,0.4
divojen,0.7
RedHotSquirrel,4.8
johncharnick,1.8
BarryJWoods,1.2
moggiesrace,0.2
JohnAHale,1.1
jpjanson,1.0
BritishSos,0.7
mwarhurst,1.8
cripttext,0.9
paddy030750,4.1
roadwish1,3.5
nirmski,0.8
PeterBa82304711,4.1
UnaDiscamus,0.5
peterjukes,1.0
whatsinitforme,1.2
CountRollo,2.8
PeterGrant19,0.0
glynmoody,1.2
cutter78,0.7
Jaistrup,0.2
ASteele70,0.8
